id,app,category,website_hint,one_line_description,auth_methods,auth_summary,access_model,access_notes,api_surface_type,api_surface_breadth,api_surface_summary,mcp_status,existing_mcp_url,buildability_verdict,main_blocker,evidence_urls,confidence,agent_notes,verified,verification_notes
11,Zendesk,Support and Helpdesk,zendesk.com,"Market-leading customer service platform with ticketing, help center, chat, and voice support.",API key; Basic auth; OAuth2,"Supports API tokens (auto-generated in Admin Center, used via basic auth as {email}/token:{api_token}), basic auth with password, and OAuth2 access tokens (Bearer); global OAuth clients are required for apps distributed to multiple Zendesk customers.",trial_or_free_but_limited,Self-serve trial signup; API tokens are generated in Admin Center (Apps and integrations > APIs > Zendesk API). OAuth clients can be created per-instance; global OAuth for multi-customer apps requires registration with Zendesk.,REST,broad,"Very broad REST API covering ticketing (tickets, users, organizations, macros, triggers, views), Help Center, Talk, Chat, and Sell, with hundreds of documented endpoints.",community_mcp,https://github.com/reminia/zendesk-mcp-server,build_now,none,https://developer.zendesk.com/api-reference/introduction/security-and-auth/; https://support.zendesk.com/hc/en-us/articles/10497779528730-Connecting-to-MCP-servers-and-using-MCP-tools-in-action-flows-EAP; https://www.zendesk.com/blog/zendesk-insights/innovation/zendesk-ai-mcp-client/; https://github.com/reminia/zendesk-mcp-server,high,"Zendesk announced official MCP Client (early access) and an official MCP Server slated for early access in summer 2026, so official MCP may be imminent but is not GA; multiple community MCP servers exist today. Global OAuth registration adds friction for a multi-tenant Composio integration but per-instance OAuth and API tokens are fully self-serve.",False,
12,Intercom,Support and Helpdesk,intercom.com,"Customer messaging and support platform with shared inbox, help center, and the Fin AI agent.",OAuth2; Bearer token,"Access Tokens (sent as Authorization: Bearer) for private apps against your own workspace, and OAuth2 for public apps accessing other users' Intercom accounts.",self_serve,Developers create an app in the Developer Hub and automatically receive an Access Token (Configure > Authentication); free development workspaces support building and OAuth testing.,REST,broad,"Broad REST API covering contacts, companies, conversations, tickets, articles/help center, admins, teams, tags, segments, events, and messages.",official_mcp,https://developers.intercom.com/docs/guides/mcp,build_now,none,https://developers.intercom.com/docs/build-an-integration/learn-more/authentication; https://developers.intercom.com/docs/guides/mcp; https://github.com/intercom/intercom-mcp-server,high,Official hosted remote MCP server exists (OAuth or bearer token auth) but currently only supports US-hosted workspaces (EU/AU unsupported). Public OAuth apps go through Intercom's app review only if listed on the App Store; unlisted OAuth apps are possible.,False,
13,Freshdesk,Support and Helpdesk,freshdesk.com,"Freshworks' cloud helpdesk for ticketing, knowledge base, and customer support automation.",API key; Basic auth,"API key used via HTTP Basic Auth (apikey:X, base64-encoded); every user can copy their personal API key from Profile Settings. No OAuth2 for the core Freshdesk API.",trial_or_free_but_limited,Self-serve signup (free trial/free tier); the personal API key is available immediately from the user's Profile Settings page in the support portal.,REST,broad,"REST API v2 covering tickets, conversations, contacts, companies, agents, groups, roles, solutions (KB), surveys, time entries, automations, SLA policies, and custom objects.",official_mcp,https://support.freshdesk.com/support/solutions/articles/50000012670-model-context-protocol-mcp-integration-in-freshdesk-eap-,build_now,none,https://developers.freshdesk.com/api/; https://support.freshdesk.com/support/solutions/articles/50000012670-model-context-protocol-mcp-integration-in-freshdesk-eap-; https://github.com/NeuraLegion/freshdesk_mcp,high,"Official Freshworks MCP server exists but is in beta/Early Access Program limited to selected Enterprise-plan customers and authenticates via API key only; multiple community MCP servers (e.g. NeuraLegion, Enreign, effytech) are freely available. API-key-only auth means per-user credential entry rather than OAuth connect flow.",False,
14,Front,Support and Helpdesk,front.com,"Shared inbox and customer operations platform combining email, chat, and team collaboration.",API key; OAuth2; Bearer token,"API tokens generated from Front settings (sent as Authorization: Bearer) for single-instance integrations, plus OAuth2 which is required for public integrations distributed to all Front customers unless Front grants an exception.",self_serve,Free self-serve developer account at dev.frontapp.com provides a sandbox environment for building and testing; API tokens are generated from account settings. Publishing to the Front App Store requires building in a developer account and going through Front's partner/review process.,REST,broad,"Core REST API covers conversations, messages, contacts, accounts, inboxes, channels, tags, comments, teammates, rules, and analytics.",community_mcp,https://github.com/zqushair/frontapp-mcp,build_now,none,https://dev.frontapp.com/docs/authentication; https://dev.frontapp.com/docs/welcome; https://dev.frontapp.com/docs/partnering-with-front; https://github.com/zqushair/frontapp-mcp,high,"No official MCP; Front staff acknowledged longer-term interest on their community forum but have not prioritized it. OAuth app distribution to all customers is tied to Front's app/partner review, though building and testing OAuth apps in a free developer sandbox is self-serve.",False,
15,Pylon,Support and Helpdesk,usepylon.com,"B2B customer support platform unifying Slack, email, and in-app support with account management.",API key,API tokens created in-app; only Admin users can create API tokens. Public docs confirm token-based access but do not publicly detail the header format; the official MCP server separately uses OAuth 2.0 (AuthKit).,contact_sales,"No free trial or free plan; all tiers are annual contracts starting ~$59/seat/month (3-seat minimum), typically sold via demo. Once a customer, an admin can self-serve create API tokens.",REST,medium,"REST API covering issues, accounts, contacts, messages, attachments, knowledge base, macros, tags, tasks/projects, teams, users/roles, custom fields/objects, surveys, and audit logs.",official_mcp,https://docs.usepylon.com/pylon-docs/integrations/pylon-mcp,needs_partner_or_paid_access,No self-serve or trial account: getting API credentials requires becoming a paying Pylon customer via a sales-led annual contract.,https://docs.usepylon.com/pylon-docs/developer/api; https://docs.usepylon.com/pylon-docs/developer/api/api-reference; https://docs.usepylon.com/pylon-docs/integrations/pylon-mcp; https://www.usepylon.com/pricing; https://usepylon.com/pricing; https://docs.usepylon.com/pylon-docs/developer/api/authentication,medium,"API reference index confirms broad resource coverage, but exact auth header format was not visible in the fetched docs pages (docs use a dynamic query system). Official hosted MCP server exists at mcp.usepylon.com with OAuth. Pricing/trial details came partly from third-party pricing roundups; Pylon reportedly offers occasional limited trial access on request.",True,Manually verified in QA sample; no corrections needed.
16,LiveAgent,Support and Helpdesk,liveagent.com,"Helpdesk software with multichannel ticketing, live chat, and call center features.",API key,API v3 authenticates via an API key passed in an 'apikey' header; admins create keys (with per-key permissions) under Configuration > System > API. No OAuth2 found.,trial_or_free_but_limited,Self-serve free trial signup; admins generate API keys directly from the agent panel. Full interactive API docs are hosted per-account at YOURDOMAIN.ladesk.com/docs/api/v3/.,REST,medium,"REST API v3 covering tickets, chats, calls, agents, contacts, companies, departments, tags, and filters. Cloud accounts are rate-limited to 180 requests/minute per API key.",no_mcp_found,,build_now,none,https://support.liveagent.com/802463-REST-API; https://support.liveagent.com/741982-API-key; https://support.liveagent.com/911737-API-v3; https://support.liveagent.com/840770-Complete-API-reference,medium,"Full endpoint reference is only browsable inside a LiveAgent account domain (docs are per-instance), so breadth was assessed from support articles and the Python client repo rather than a public API reference page. No official or community MCP server found in searches.",False,
17,Plain,Support and Helpdesk,plain.com,"API-first B2B support platform built for technical teams, with Slack-native support workflows.",API key,"API keys created via Machine Users (Settings > Machine Users) with fine-grained permissions, sent as Authorization: Bearer to the GraphQL endpoint. The official MCP server separately uses OAuth (no API keys needed).",trial_or_free_but_limited,Self-serve workspace signup; API keys are generated in-app from Settings > API Keys / Machine Users with selectable permissions.,GraphQL,medium,"GraphQL API (core-api.uk.plain.com/graphql/v1) covering threads, customers, tenants, labels, events, and help center content; the official MCP exposes 30 tools across threads, customers, tenants, help center, and workspace.",official_mcp,https://help.plain.com/article/mcp-server,build_now,none,https://www.plain.com/docs/graphql/authentication; https://help.plain.com/article/mcp-server; https://www.plain.com/blog/mcp-server; https://github.com/team-plain/cursor-plugin-mcp,high,"GraphQL-only API (no REST), which is a minor implementation difference for a toolkit. Official hosted MCP at mcp.plain.com/mcp with OAuth; community MCP servers using API keys also exist. Did not independently verify pricing/trial specifics, but signup and API key creation are documented as in-app self-serve.",False,
18,Help Scout,Support and Helpdesk,helpscout.com,Email-based shared inbox and knowledge base platform for customer support teams.,OAuth2,"Mailbox API 2.0 is OAuth2-only: Authorization Code flow for integrations used by other Help Scout users, and Client Credentials flow for internal integrations; all requests use a Bearer access token tied to an active user.",trial_or_free_but_limited,Self-serve: any user creates an OAuth2 app under Your Profile > My Apps ('Create My App'); account signup is self-serve with a free trial/free tier.,REST,medium,"Mailbox API 2.0 (REST) covers conversations, threads, customers, mailboxes/inboxes, users, teams, tags, workflows, and reports; a separate Docs API covers knowledge base content.",community_mcp,https://mcpservers.org/servers/drewburchfield/help-scout-mcp-server,build_now,none,https://developer.helpscout.com/mailbox-api/overview/authentication/; https://mcpservers.org/servers/drewburchfield/help-scout-mcp-server; https://www.stackone.com/connectors/helpscout/mcp/,high,"No official Help Scout MCP found; community servers (drewburchfield/help-scout-mcp-server) and aggregator MCPs (StackOne, 36 actions) exist. Note access token lengths change over time per docs, and all credentials must map to an active invited user in the account.",False,
19,Gorgias,Support and Helpdesk,gorgias.com,"Ecommerce-focused helpdesk (deep Shopify integration) for support tickets across email, chat, and social.",API key; Basic auth; OAuth2,Private apps authenticate with an API key plus the user's email via HTTP basic auth; OAuth2 is mandatory for public apps distributed through the Gorgias app store.,trial_or_free_but_limited,API keys are obtained self-serve from a Gorgias account's settings (a paid plan or trial account is required); OAuth2 credentials require going through the app-store setup process.,REST,broad,"REST API covering tickets, ticket messages, customers, tags, macros, teams, users, integrations, events, satisfaction surveys, and account settings.",official_mcp,https://docs.gorgias.com/en-US/connect-your-ai-assistant-to-the-gorgias-mcp-6310546,build_now,none,https://developers.gorgias.com/reference/authentication; https://docs.gorgias.com/en-US/connect-your-ai-assistant-to-the-gorgias-mcp-6310546; https://www.gorgias.com/blog/gorgias-mcp,high,"Official first-party hosted MCP at mcp.gorgias.com/mcp, available on any paid Gorgias plan. Composio already lists a Gorgias toolkit (composio.dev/toolkits/gorgias appeared in search results). Public OAuth2 apps require the app-store setup process, a mild review-gate for a distributed OAuth integration.",False,
20,Gladly,Support and Helpdesk,gladly.com,Enterprise customer service platform organized around lifelong customer conversations rather than tickets.,API key; Basic auth,Token-based HTTP Basic Authentication: API tokens are tied to a designated Gladly user with the 'API User' permission and passed in the Authorization header; a token can perform any API request without restriction. No OAuth2 found.,contact_sales,"Gladly is an enterprise, sales-led product with no self-serve signup; API tokens are generated in-app by users holding the API User permission, so credentials require an existing customer account.",REST,medium,"REST API at developer.gladly.com/rest covering customers, conversations, agents, tasks, payloads/exports, jobs, and webhooks for the Gladly support platform.",no_mcp_found,,needs_partner_or_paid_access,"Credentials require a paid, sales-led Gladly customer account; no developer sandbox or self-serve signup found, and auth is basic-auth tokens rather than OAuth.",https://developer.gladly.com/rest/; https://help.gladly.com/developer-tutorials/docs/authentication; https://help.gladly.com/implementation/docs/get-your-api-tokens; https://www.getguru.com/reference/gladly-mcp,medium,"Auth details came from official Gladly help/developer docs surfaced in search results rather than a full fetch of the API reference, so endpoint-level breadth is an estimate. No official or community MCP server found. API tokens are all-or-nothing (no scoping), which is a governance caveat for agent use.",True,Manually verified in QA sample; no corrections needed.
21,Slack,Communications and Messaging,slack.com,"Team messaging and collaboration platform with channels, DMs, huddles, and a large app/bot ecosystem.",OAuth2; Bot token,"Slack apps authenticate via OAuth 2.0, which issues bot tokens (xoxb), user tokens (xoxp), and app-level tokens; scopes are assigned per app and token rotation is supported.",self_serve,"Developers create an app self-serve at api.slack.com/apps, assign OAuth scopes, and install to a workspace to obtain tokens. Some enterprise workspaces require admin approval to install apps.",REST,broad,"The Web API (HTTP methods like chat.postMessage, conversations.*, users.*) covers messaging, channels, users, files, canvases, plus Events API and Socket Mode for real-time events.",official_mcp,https://docs.slack.dev/ai/slack-mcp-server/,build_now,none,https://docs.slack.dev/authentication/; https://docs.slack.dev/ai/slack-mcp-server/; https://slack.com/help/articles/48855576908307-Guide-to-Model-Context-Protocol-in-Slack,high,Fetched official auth docs. Slack now also ships an official MCP server documented on docs.slack.dev. Composio-style toolkits are well-trodden here; main caveat is per-workspace app installation and admin approval in restricted workspaces.,False,
22,Twilio,Communications and Messaging,twilio.com,"CPaaS platform for programmable SMS, voice, WhatsApp, email, and verification via APIs.",Basic auth; API key,"REST APIs authenticate with HTTP Basic auth using Account SID + Auth Token, or (preferred for production) API keys (Main/Standard/Restricted) used as Basic auth credentials.",trial_or_free_but_limited,"Self-serve signup with a free trial account; trial has restrictions (verified numbers, trial message watermark). Full sending requires funding the account and, for some channels, regulatory/sender registration (e.g. A2P 10DLC).",REST,broad,"REST APIs over HTTPS covering messaging, voice calls, phone number lookup/provisioning, verification, and more, with official SDKs in many languages.",official_mcp,https://github.com/twilio-labs/mcp,build_now,none,https://www.twilio.com/docs/usage/api; https://www.twilio.com/docs/iam/api-keys; https://github.com/twilio-labs/mcp; https://www.twilio.com/en-us/blog/introducing-twilio-alpha-mcp-server,high,"Official docs confirm API keys are the preferred auth. Twilio Labs publishes an official (alpha) MCP server exposing 1,400+ endpoints generated from OpenAPI specs. Carrier/regulatory registration affects real-world SMS sending but not API buildability.",False,
